tiempo,Potencia[W],Potencia S [W],Amperios[A],Voltios[V]
4.0531158447265625e-06,5.498391,5.51,1.083,5.077
1.0304958820343018,5.645624,5.65,1.112,5.077
2.0684828758239746,5.574546,5.58,1.098,5.077
3.0730483531951904,5.716702,5.71,1.126,5.077
4.077104091644287,10.624068,6.15,2.093,5.076
5.081871509552002,5.691317,5.69,1.121,5.077
6.0855255126953125,5.53393,5.53,1.09,5.077
7.090547323226929,5.615162,5.62,1.106,5.077
8.094489574432373,5.494396,5.49,1.082,5.078
9.099287986755371,5.620239,5.62,1.107,5.077
10.104783058166504,5.955321,5.96,1.173,5.077
11.108558177947998,6.107631,6.11,1.203,5.077
12.113362073898315,5.650701,5.65,1.113,5.077
13.116987228393555,10.487016,10.49,2.066,5.076
14.119877338409424,5.422236,5.43,1.068,5.077
15.123655796051025,5.711625,5.71,1.125,5.077
16.12784695625305,5.677204,5.68,1.118,5.078
17.131738424301147,5.508545,5.5,1.085,5.077
18.135271549224854,5.488237,5.49,1.081,5.077
19.13992142677307,5.691317,5.69,1.121,5.077
20.14288353919983,11.135235,10.88,2.195,5.073
21.14760398864746,5.691317,5.69,1.121,5.077
22.151180505752563,9.921625,9.92,1.955,5.075
23.15483021736145,5.43239,5.44,1.07,5.077
24.158595323562622,5.752241,5.48,1.133,5.077
25.16229271888733,5.48316,5.48,1.08,5.077
26.206433296203613,5.412082,5.41,1.066,5.077
27.211506128311157,5.545176,5.55,1.092,5.078
28.216354370117188,5.676086,5.68,1.118,5.077
29.220834255218506,5.574546,5.58,1.098,5.077
30.249857425689697,5.437467,5.44,1.071,5.077
31.254140377044678,5.76353,5.77,1.135,5.078
32.25780439376831,11.120016,11.12,2.192,5.073
33.26145267486572,5.447621,5.45,1.073,5.077
34.26735281944275,5.980706,5.99,1.178,5.077
35.27100419998169,5.417159,5.42,1.067,5.077
36.27466082572937,5.473006,5.48,1.078,5.077
37.31008720397949,5.43239,5.43,1.07,5.077
38.31515026092529,5.68624,5.68,1.12,5.077
39.31887412071228,10.95768,10.96,2.16,5.073
40.32264018058777,5.498391,5.42,1.083,5.077
41.32648801803589,5.514708,5.52,1.086,5.078
42.33050513267517,6.106428,6.1,1.203,5.076
43.33427357673645,5.893236,5.9,1.161,5.076
44.33805561065674,5.747164,5.76,1.132,5.077
45.61833453178406,5.396851,5.4,1.063,5.077
46.85132622718811,5.391774,5.4,1.062,5.077
48.010786294937134,5.447621,5.55,1.073,5.077
49.04938578605652,5.559315,5.56,1.095,5.077
50.06403827667236,5.43239,5.43,1.07,5.077
51.067601442337036,5.422236,5.43,1.068,5.077
52.14580988883972,5.457775,5.45,1.075,5.077
53.245786905288696,5.442544,5.44,1.072,5.077
54.25628089904785,5.442544,5.44,1.072,5.077
55.26919937133789,5.422236,5.42,1.068,5.077
56.36574196815491,5.461776,5.42,1.076,5.076
57.37901496887207,5.417159,5.41,1.067,5.077
58.393259048461914,5.462852,5.46,1.076,5.077
59.39684343338013,5.366389,5.37,1.057,5.077
